num_clientes,tempo_execucao_s
337,0.4060494899749756
66,0.5421669483184814
311,0.2391657829284668
224,0.24467039108276367
64,0.5880999565124512
78,0.44975829124450684
51,0.566373348236084
149,0.31923460960388184
355,0.21767091751098633
409,0.274855375289917
309,0.2351672649383545
325,0.2217710018157959
130,0.3280913829803467
139,0.2981901168823242
152,0.2756657600402832
387,0.2742288112640381
340,0.24109911918640137
412,0.19696497917175293
444,0.21601057052612305
320,0.22887229919433594
139,0.33704280853271484
275,0.23987150192260742
443,0.3427245616912842
397,0.2969648838043213
425,0.19493412971496582
179,0.2714228630065918
74,0.6139867305755615
212,0.24684429168701172
177,0.28486084938049316
390,0.22127366065979004
128,0.34388113021850586
497,0.19191837310791016
17,1.4340758323669434
34,0.7871317863464355
171,0.2859342098236084
269,0.25188469886779785
427,0.2200169563293457
32,0.784876823425293
253,0.30011940002441406
457,0.23307347297668457
184,0.2710082530975342
122,0.3380751609802246
185,0.28749895095825195
139,0.2993607521057129
318,0.2881145477294922
60,0.6441152095794678
147,0.3181343078613281
327,0.21972012519836426
217,0.26880645751953125
232,0.24997782707214355
346,0.20560693740844727
258,0.26169347763061523
397,0.2148725986480713
390,0.2848045825958252
367,0.23260235786437988
330,0.2350623607635498
52,0.5628514289855957
331,0.21866893768310547
313,0.2573578357696533
320,0.25006937980651855
370,0.19408941268920898
21,1.203709602355957
66,0.5327270030975342
138,0.34311747550964355
223,0.22909069061279297
275,0.23915553092956543
445,0.23394513130187988
167,0.2870521545410156
491,0.24206876754760742
443,0.22074198722839355
67,0.4271883964538574
131,0.3230173587799072
310,0.24021387100219727
333,0.22748327255249023
470,0.2281489372253418
225,0.28902459144592285
332,0.22905564308166504
23,1.117851734161377
447,0.305112361907959
352,0.2330613136291504
102,0.3888542652130127
45,0.7061700820922852
318,0.26465940475463867
126,0.3133862018585205
431,0.2188570499420166
94,0.379436731338501
304,0.2612636089324951
180,0.28127050399780273
270,0.4431445598602295
473,0.22260141372680664
315,0.24531078338623047
434,0.2439713478088379
173,0.25458383560180664
491,0.19030022621154785
379,0.22585511207580566
92,0.420058012008667
167,0.2861208915710449
85,0.4100172519683838
340,0.22183799743652344
231,0.292039155960083
80,0.4361410140991211
13,1.9131202697753906
184,0.3329188823699951
41,0.9029405117034912
250,0.3086075782775879
34,0.8293740749359131
184,0.3306765556335449
92,0.5530264377593994
190,0.29114723205566406
125,0.504791259765625
374,0.38079380989074707
49,0.5516183376312256
78,0.4451930522918701
274,0.3280801773071289
356,0.21591639518737793
67,0.45105409622192383
188,0.294086217880249
441,0.22478747367858887
488,0.21681809425354004
133,0.34322524070739746
64,0.5393962860107422
427,0.2817826271057129
483,0.2059779167175293
259,0.24482226371765137
202,0.2388477325439453
40,0.6614837646484375
31,0.8649697303771973
495,0.20970940589904785
27,1.012345790863037
80,0.39582252502441406
393,0.2218184471130371
149,0.32533884048461914
250,0.2660672664642334
400,0.28842878341674805
453,0.20812773704528809
183,0.28568124771118164
42,0.67085862159729
474,0.23354291915893555
151,0.2953150272369385
288,0.23907732963562012
20,1.466416358947754
460,0.2610604763031006
339,0.257094144821167
494,0.25185203552246094
183,0.29422879219055176
359,0.22907638549804688
116,0.34797120094299316
263,0.24142909049987793
481,0.22160935401916504
223,0.2439124584197998
349,0.250399112701416
392,0.2361619472503662
162,0.28337788581848145
36,1.0080115795135498
91,0.3389127254486084
416,0.21727657318115234
474,0.2289271354675293
61,0.5898585319519043
495,0.1930985450744629
235,0.271686315536499
229,0.28133654594421387
371,0.21921038627624512
450,0.19414281845092773
308,0.2544376850128174
473,0.22198009490966797
487,0.22212553024291992
265,0.23988008499145508
345,0.2658274173736572
439,0.22355985641479492
133,0.323960542678833
425,0.2608349323272705
160,0.2837638854980469
268,0.32315874099731445
453,0.26197385787963867
22,1.2134733200073242
249,0.24666738510131836
146,0.29793429374694824
444,0.22805023193359375
26,1.0707204341888428
417,0.21631121635437012
335,0.2412126064300537
213,0.29179906845092773
264,0.3396308422088623
461,0.23319196701049805
218,0.27275705337524414
65,0.5160000324249268
24,1.0423839092254639
104,0.3587958812713623
245,0.23899435997009277
481,0.20248627662658691
18,1.3966939449310303
281,0.23088407516479492
236,0.29814648628234863
433,0.23886775970458984
17,1.486844539642334
162,0.31548523902893066
230,0.2304527759552002
69,0.41719889640808105
341,0.2270495891571045
373,0.2065591812133789
